Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BR072710:0049.93,R072710:0000.0,49927,Niassa,BRDG,35.1554031372,-13.2785043716,,,STRM,,,,2.50,3.00,,,,,CONC,CONC
BR072910:0001.33,R072910:0000.0,1327,Niassa,BRDG,35.4323730469,-13.9079227448,,,STRM,,,1,2.50,4.00,,,,,CONC,CONC
BR073210:0004.50,R073210:0000.0,4501,Niassa,BRDG,35.6025161743,-13.0762758255,,,STRM,1,15.00,15,2.50,3.50,,,,GIRD,CONC,CONC
BR073210:0005.52,R073210:0000.0,5523,Niassa,VENT,35.5958404541,-13.0705595016,,,STRM,1,6.00,6,1.50,3.50,,,,VENT,CONC,CONC
BR073210:0021.36,R073210:0000.0,21363,Niassa,BRDG,35.5094947815,-12.9872150421,,,STRM,1,6.00,6,1.50,3.50,,,,,CONC,CONC
BR073210:0025.06,R073210:0025.0,25061,Niassa,BRDG,35.4765357971,-12.9910163879,,,RIVR,6,45.00,7.5,8.00,4.00,,,,,CONC,CONC
BR073210:0028.47,R073210:0025.0,28471,Niassa,BRDG,35.4675216675,-12.9689044952,,,RIVR,6,36.00,6,4.00,4.00,,,,,CONC,CONC
BR073310:0013.90,R073310:0000.0,13895,Niassa,BRDG,35.2796516418,-13.0540800095,,,RIVR,3,15.30,2.8,7.50,4.20,2.40,,,VENT,CONC,ASPH
BR073310:0041.88,R073310:0032.3,41878,Niassa,BRDG,35.4039535522,-12.8569517136,,,STRM,2,20.00,10,2.50,4.00,,,,,CONC,CONC
BR073310:0043.66,R073310:0032.3,43659,Niassa,BRDG,35.4085083008,-12.8429670334,,,STRM,2,15.00,7.5,2.00,4.00,,,,,CONC,CONC
BR073310:0059.70,R073310:0032.3,59702,Niassa,BRDG,35.4311599731,-12.7127342224,,,STRM,3,21.00,7,5.00,4.00,,,,,CONC,CONC
BR073310:0073.18,R073310:0032.3,73180,Niassa,BRDG,35.4241142273,-12.6059122086,,,STRM,1,15.00,15,3.50,4.00,,,,GIRD,CONC,CONC
BR073310:0074.37,R073310:0032.3,74367,Niassa,BRDG,35.4201393127,-12.5961208344,,,STRM,1,10.00,10,2.00,4.00,,,,,CONC,CONC
BR073310:0076.97,R073310:0032.3,76972,Niassa,BRDG,35.4264717102,-12.5756797791,,,STRM,2,20.00,10,4.50,4.00,,,,,CONC,CONC
BR073310:0083.84,R073310:0032.3,83842,Niassa,BRDG,35.4398422241,-12.5207929611,,,RIVR,3,24.00,8,8.00,5.00,,,,,CONC,CONC
BR073410:0011.49,R073410:0010.3,11487,Niassa,BRDG,34.8654708862,-12.6055307388,,,STRM,,,,2.50,5.00,,,,,CONC,CONC
BR073410:0011.91,R073410:0010.3,11910,Niassa,BRDG,34.8685073853,-12.6032352448,,,STRM,,,,1.50,3.50,,,,,CONC,CONC
BR073410:0014.13,R073410:0010.3,14126,Niassa,BRDG,34.8821792603,-12.58963871,,,STRM,,,,2.00,4.00,,,,,CONC,CONC
BR073410:0018.45,R073410:0010.3,18445,Niassa,BRDG,34.9144744873,-12.568312645,,,STRM,,,,2.50,8.00,,,,,CONC,CONC
BR073410:0020.01,R073410:0010.3,20006,Niassa,BRDG,34.9255447388,-12.5596494675,,,STRM,,,,1.50,8.00,,,,,CONC,CONC
BR073410:0021.15,R073410:0010.3,21154,Niassa,BRDG,34.9327087402,-12.5521640778,,,STRM,,,,1.50,8.00,,,,,CONC,CONC
BR073410:0022.06,R073410:0010.3,22060,Niassa,VENT,34.9337615967,-12.5458564758,,,STRM,,,,2.00,10.00,,,,VENT,CONC,CONC
BR073410:0024.23,R073410:0010.3,24225,Niassa,BRDG,34.9444236755,-12.5301322937,,,RIVR,,,,2.00,4.00,,,,,CONC,CONC
BR073410:0026.20,R073410:0010.3,26199,Niassa,BRDG,34.9560279846,-12.5191364288,,,STRM,,,,3.00,4.00,,,,,CONC,CONC
BR073410:0072.23,R073410:0010.3,72226,Niassa,BRDG,34.7652053833,-12.3252687454,,,STRM,,,,1.00,3.50,,,,ARCH,CONC,CONC
BR073410:0086.66,R073410:0086.5,86658,Niassa,BRDG,34.786441803,-12.2032728195,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073410:0088.50,R073410:0086.5,88495,Niassa,BRDG,34.7830696106,-12.1890420914,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073410:0092.45,R073410:0086.5,92450,Niassa,BRDG,34.7816200256,-12.1615076065,,,STRM,,,,2.00,5.00,,,,,CONC,CONC
BR073410:0092.57,R073410:0086.5,92571,Niassa,BRDG,34.7822723389,-12.1607160568,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073410:0092.70,R073410:0086.5,92702,Niassa,BRDG,34.783241272,-12.1600227356,,,STRM,,,,1.00,5.00,,,,,CONC,CONC
BR073410:0092.81,R073410:0086.5,92813,Niassa,VENT,34.7841453552,-12.1594791412,,,STRM,,,,1.00,5.00,,,,VENT,CONC,CONC
BR073410:0092.87,R073410:0086.5,92874,Niassa,VENT,34.7845573425,-12.1591463089,,,STRM,,,,1.00,5.00,,,,VENT,CONC,CONC
BR073410:0093.03,R073410:0086.5,93025,Niassa,BRDG,34.7853469849,-12.1599054337,,,STRM,,,,2.00,5.00,,,,,CONC,CONC
BR073410:0093.10,R073410:0086.5,93096,Niassa,BRDG,34.7857093811,-12.1593389511,,,STRM,,,,2.00,5.00,,,,,CONC,CONC
BR073410:0093.37,R073410:0086.5,93368,Niassa,BRDG,34.7856788635,-12.1569757462,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073410:0093.61,R073410:0086.5,93610,Niassa,BRDG,34.7874755859,-12.156001091,,,STRM,,,,2.00,5.00,,,,,CONC,CONC
BR073410:0093.77,R073410:0086.5,93772,Niassa,BRDG,34.7878379822,-12.1546020508,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073410:0096.97,R073410:0086.5,96970,Niassa,BRDG,34.776348114,-12.1461486816,,,STRM,,,,2.50,5.00,,,,,CONC,CONC
BR073410:0098.15,R073410:0086.5,98151,Niassa,BRDG,34.766418457,-12.1437721252,,,STRM,,,,1.50,5.00,,,,,CONC,CONC
BR073510:0003.01,R073510:0000.0,3010,Niassa,BRDG,34.8124198914,-12.2138519287,,,STRM,4,16.00,4,1.50,3.50,,,,,CONC,CONC
BR073510:0009.96,R073510:0000.0,9960,Niassa,BRDG,34.8718185425,-12.1936206818,,,STRM,4,24.00,6,2.00,5.00,,,,,CONC,CONC
BR112010:0069.52,R112010:0024.2,69518,Niassa,BRDG,35.8770484924,-15.1850118637,,,RIVR,1,51.00,48,2.10,4.00,,,,BAIL,STEL,STEL
BR120010:0036.13,R120010:0000.0,36134,Niassa,BRDG,36.236038208,-14.7063875198,,,RIVR,,,,1.50,3.50,,,,,STEL,STEL
BR120010:0036.59,R120010:0000.0,36588,Niassa,BRDG,36.2402458191,-14.7064743042,,,STRM,,,,1.50,3.50,,,,CULV,CONC,CONC
BR120010:0037.68,R120010:0037.5,37682,Niassa,BRDG,36.2499694824,-14.7087678909,,,STRM,,,,1.50,3.50,,,,CULV,CONC,CONC
BR120010:0049.51,R120010:0037.5,49512,Niassa,BRDG,36.3465576172,-14.7188634872,,,RIVR,,,,2.00,3.50,,,,,CONC,CONC
